country_code,file_name,file_size_kb,file_extension,dimensions,aspect_ratio,flag_type,quality,source_url,dominant_colours
gg,gg.svg,0.619,SVG,"(512, 512)",1.0,,8,,"#e8112d,#f9dd16,#fff"
gh,gh.svg,0.301,SVG,"(512, 512)",1.0,,8,,"#000001,#006b3f,#ce1126,#fcd116"
gi,gi.svg,2.814,SVG,"(512, 512)",1.0,,38,,"#000001,#da000c,#f8d80e,#fff"
gl,gl.svg,0.231,SVG,"(512, 512)",1.0,,4,,"#d00c33,#fff"
gm,gm.svg,0.37,SVG,"(512, 512)",1.0,,10,,"#009,#090,#fff"
gn,gn.svg,0.285,SVG,"(512, 512)",1.0,,6,,"#090,#ff0"
gp,gp.svg,0.226,SVG,"(512, 512)",1.0,,6,,"#000091,#e1000f,#fff"
gq,gq.svg,4.955,SVG,"(512, 512)",1.0,,34,,"#0073ce,#009a3b,#3e9a00,#73452b,#a36629,#e32118,#fff"
gr,gr.svg,0.841,SVG,"(512, 512)",1.0,,24,,"#0d5eaf,#fff"
gs,gs.svg,31.174,SVG,"(512, 512)",1.0,,100,,"#006,#006b00,#00713d,#00f,#012169,#1e5aa6,#2b2b2b,#474747,#5e0043,#656263,#6a4c2d,#8a9396,#923f00,#b4b6b9,#c01500,#c75b00,#c8102e,#cccccd,#cdad56,#cecfcf,#e80000,#fb0,#ff7000,#ffc900,#fff,#fffeff"
gt,gt.svg,30.617,SVG,"(512, 512)",1.0,,100,,"#34541f,#406325,#448127,#485654,#4997d0,#67923d,#6c301e,#8c959d,#a08307,#b07e09,#b2b6ba,#ba1f3e,#eac102,#f9f0aa,#fab81c,#fff"
gu,gu.svg,4.092,SVG,"(512, 512)",1.0,,34,,"#179a3b,#239e46,#3b5aa3,#a68861,#a79270,#add2d9,#bd0728,#be0027,#cbe0e5,#fdf9a1,#fdf9ff"
gw,gw.svg,0.899,SVG,"(512, 512)",1.0,,8,,"#000001,#009e49,#ce1126,#fcd116"
gy,gy.svg,0.47,SVG,"(512, 512)",1.0,,10,,"#000001,#399408,#de2110,#ffde08,#fff"
hk,hk.svg,0.699,SVG,"(512, 512)",1.0,,4,,"#ec1b2e,#fff"
hm,hm.svg,1.227,SVG,"(512, 512)",1.0,,12,,"#00008b,#fff"
hn,hn.svg,1.12,SVG,"(512, 512)",1.0,,6,,"#18c3df,#fff"
hr,hr.svg,30.551,SVG,"(512, 512)",1.0,,84,,"#0093dd,#171796,#f7db17,#fff"
ht,ht.svg,13.144,SVG,"(512, 512)",1.0,,100,,"#000001,#00209f,#016a16,#0a328c,#503200,#d20014,#d21034,#f1b517,#fff"
hu,hu.svg,0.267,SVG,"(512, 512)",1.0,,6,,"#388d00,#d43516,#fff"
id,id.svg,0.174,SVG,"(512, 512)",1.0,,4,,"#e70011,#fff"
ie,ie.svg,0.282,SVG,"(512, 512)",1.0,,6,,"#009a49,#ff7900,#fff"
il,il.svg,0.77,SVG,"(512, 512)",1.0,,12,,"#0038b8,#fff"
im,im.svg,9.473,SVG,"(512, 512)",1.0,,56,,"#ba0000,#ffe606,#ffec00,#ffef00,#fff"
in,in.svg,1.077,SVG,"(512, 512)",1.0,,16,,"#008,#128807,#f93,#fff"
io,io.svg,22.187,SVG,"(512, 512)",1.0,,100,,"#000063,#006300,#006d00,#012169,#a24300,#c00,#c8102e,#fff,#fff100"
iq,iq.svg,1.392,SVG,"(512, 512)",1.0,,12,,"#000001,#007a3d,#ce1126,#fff"
ir,ir.svg,14.938,SVG,"(512, 512)",1.0,,100,,"#239e3f,#239f40,#d90000,#da0000,#fff"
is,is.svg,0.508,SVG,"(512, 512)",1.0,,8,,"#003897,#d72828,#fff"
it,it.svg,0.282,SVG,"(512, 512)",1.0,,6,,"#009246,#ce2b37,#fff"
je,je.svg,34.208,SVG,"(512, 512)",1.0,,100,,"#2b2200,#377bc8,#504416,#806600,#cf142b,#d1b948,#fff"
jm,jm.svg,0.392,SVG,"(512, 512)",1.0,,8,,"#000001,#090,#fc0"
jo,jo.svg,0.686,SVG,"(512, 512)",1.0,,12,,"#000001,#090,#fff"
jp,jp.svg,0.474,SVG,"(512, 512)",1.0,,6,,"#bc002d,#fff"
ke,ke.svg,1.493,SVG,"(512, 512)",1.0,,16,,"#000001,#060,#b00,#fff"
kg,kg.svg,4.681,SVG,"(512, 512)",1.0,,4,,#ff0
kh,kh.svg,6.956,SVG,"(512, 512)",1.0,,100,,"#032ea1,#e00025,#fff"
ki,ki.svg,5.67,SVG,"(512, 512)",1.0,,56,,"#005989,#e73e2d,#fec74a,#ffc84b,#fff"
km,km.svg,1.007,SVG,"(512, 512)",1.0,,16,,"#239e46,#3b5aa3,#be0027,#ff0,#fff"
kn,kn.svg,0.796,SVG,"(512, 512)",1.0,,12,,"#000001,#35a100,#c70000,#ffe900,#fff"
kp,kp.svg,0.827,SVG,"(512, 512)",1.0,,14,,"#3e5698,#c40000,#c60000,#fff"
kr,kr.svg,0.834,SVG,"(512, 512)",1.0,,14,,"#000001,#0047a0,#cd2e3a,#fff"
kw,kw.svg,0.509,SVG,"(512, 512)",1.0,,10,,"#000001,#00d941,#f31830,#fff"
ky,ky.svg,22.824,SVG,"(512, 512)",1.0,,100,,"#000001,#00493d,#006,#012169,#024919,#059334,#073163,#0b50a0,#c8102e,#f9d050,#fcea83,#fff"
kz,kz.svg,6.93,SVG,"(512, 512)",1.0,,16,,"#00abc2,#ffec2d"
