subdivision_code,file_name,file_size_kb,file_extension,dimensions,aspect_ratio,flag_type,quality,source_url,dominant_colours
AR-W,AR-W.svg,52.811,SVG,"(600, 900)",1.5,,100,,"#346d32,#3e7fd0,#4179ad,#60962d,#643d16,#74acdf,#86afe7,#8d4143,#a54b00,#b45a00,#b5543b,#c23624,#c65d37,#cd5329,#cf3a25,#d83a26,#da3b27,#df7a33,#e3c142,#e45430,#e6e6e6,#e7c662,#eba243,#ececec,#f00,#f60,#f7da9b,#fefcfc,#ff7f2a,#ffbe2a,#ffdd2a,#ffdec3,#fff"
AR-X,AR-X.svg,5.704,SVG,"(600, 900)",1.5,,8,,"#6cace4,#866d4b,#971b2f,#fff"
AR-Y,AR-Y.svg,47.509,SVG,"(6236, 5518)",0.88,,100,,
AR-Z,AR-Z.svg,28.405,SVG,"(504, 765)",1.52,,62,,"#1d97df,#291873,#73c5ee,#883a28,#a95e37,#f5b300,#f5f100,#ffffff"
AT-1,AT-1.svg,353.321,SVG,"(400, 600)",1.5,,100,,"#da121a,#fcdd09,#fff"
AT-2,AT-2.svg,40.976,SVG,"(600, 900)",1.5,,100,,"#000000,#da121a,#fcdd09,#ffffff,rgb(218,18,26),rgb(252,221,9),rgb(255,255,255)"
AT-3,AT-3.svg,39.347,SVG,"(400, 600)",1.5,,42,,"#000000,#002d72,#ffcd00"
AT-4,AT-4.svg,42.4,SVG,"(400, 600)",1.5,,100,,"#0f47af,#da121a,#fcdd09,#fff"
AT-5,AT-5.svg,51.488,SVG,"(600, 900)",1.5,,96,,"#da121a,#fcdd09,#fff,#ffffff"
AT-6,AT-6.svg,88.822,SVG,"(600, 900)",1.5,,100,,"#078930,#da121a,#fcdd09,#fff"
AT-7,AT-7.svg,21.323,SVG,"(400, 600)",1.5,,88,,"#078930,#da121a,#fcdd09,#ffffff"
AT-8,AT-8.svg,6.417,SVG,"(400, 600)",1.5,,36,,"#da121a,#ffffff"
AT-9,AT-9.svg,2.885,SVG,"(600, 900)",1.5,,14,,"#da121a,#fff"
AU-ACT,AU-ACT.svg,27.591,SVG,"(600, 1200)",2.0,,100,,"#003087,#ffcd00,#fff"
AU-NSW,AU-NSW.svg,55.425,SVG,"(600, 1200)",2.0,,100,,"#001e62,#00247d,#2b96f6,#306947,#ccc,#cf142b,#da291c,#f6e078,#fed100,#ffc828,#fff"
AU-NT,AU-NT.svg,1.959,SVG,"(600, 1200)",2.0,,16,,"#000,#c75b12,#fff"
AU-QLD,AU-QLD.svg,50.68,SVG,"(600, 1200)",2.0,,100,,"#00247d,#012169,#2b96f6,#41b6e6,#4a7729,#ccc,#e4002b,#f6e078,#ffc72c,#fff"
AU-SA,AU-SA.svg,12.215,SVG,"(600, 1200)",2.0,,26,,"#012169,#231f20,#40721b,#ffa400,#fff"
AU-TAS,AU-TAS.svg,24.076,SVG,"(600, 1200)",2.0,,100,,"#012169,#e4002b,#fff"
AU-VIC,AU-VIC.svg,50.0,SVG,"(600, 1200)",2.0,,100,,"#012169,#2b96f6,#4a7729,#ccc,#e4002b,#f6e078,#ffc72c,#fff"
AU-WA,AU-WA.svg,59.944,SVG,"(600, 1200)",2.0,,100,,"#00247d,#2b96f6,#306947,#ccc,#cf142b,#f6e078,#fed100,#ffe400,#fff"
AZ-BA,AZ-BA.svg,357.745,SVG,"(519, 1040)",2.0,,52,,"#0d8bcc,#128bcc,#4aac65,#67382b,#fdda56,#ffffff"
AZ-NX,AZ-NX.svg,0.574,SVG,"(600, 1200)",2.0,,12,,"#00b5e2,#509e2f,#ef3340,#fff"
AZ-SM,AZ-SM.png,63.206,PNG,"(667, 1000)",1.5,,7.1,,
AZ-YE,AZ-YE.jpg,204.932,JPG,"(780, 1000)",1.28,,11.41,,
BA-BRC,BA-BRC.svg,0.5,SVG,"(400, 800)",2.0,,6,,"#002395,#fecb00,#fff"
BA-SRP,BA-SRP.svg,0.197,SVG,"(600, 1200)",2.0,,6,,"#3951a3,#ed1c24,#fff"
BE-BRU,BE-BRU.svg,1.971,SVG,"(600, 900)",1.5,,8,,"#0900bd,#b9b9bc,#fff,#fff202"
BE-VAN,BE-VAN.svg,0.397,SVG,"(400, 600)",1.5,,10,,"#0038a8,#d81e05,#f9dd16,#fff"
BE-VBR,BE-VBR.svg,24.111,SVG,"(333, 500)",1.5,,60,,"#000000,#da251d,#f8c300,#ffffff"
BE-VLG,BE-VLG.svg,14.88,SVG,"(561, 842)",1.5,,4,,"#000,#fff200"
BE-VLI,BE-VLI.svg,16.106,SVG,"(1787, 2681)",1.5,,6,,"#ce2100,#f3d700,#fff"
BE-VOV,BE-VOV.svg,27.095,SVG,"(333, 546)",1.64,,66,,"#000000,#00923f,#ff0000,#ffffff"
BE-VWV,BE-VWV.svg,0.439,SVG,"(216, 324)",1.5,,10,,
BE-WAL,BE-WAL.svg,25.811,SVG,"(533, 800)",1.5,,58,,"#da121a,#dd303e,#fbc835,#fcdd09"
BE-WBR,BE-WBR.svg,30.302,SVG,"(532, 601)",1.13,,100,,"#000000,#fcef3c,#ff0000,#ff0030,#ffff00"
BE-WHT,BE-WHT.svg,71.621,SVG,"(600, 600)",1.0,,100,,"#00f,#f00,#ff0,#fff"
BE-WLG,BE-WLG.svg,46.554,SVG,"(300, 450)",1.5,,100,,"#5ab532,#aa8800,#c8b80f,#cea500,#d60021,#e20909,#e7cd54,#efd600,#fcef3c,#fee46e,#fff"
BE-WLX,BE-WLX.svg,51.753,SVG,"(655, 1075)",1.64,,62,,"#2b5df2,#e90909,#fcef3c,#fff"
BE-WNA,BE-WNA.svg,0.347,SVG,"(200, 300)",1.5,,4,,"#000000,#cb322c"
BH-13,BH-13.svg,196.884,SVG,"(480, 640)",1.33,,100,,"#0a4e95,#730916,#a39b00,#aa0e1f,#c61024,#ce1126,#d7d7d7,#e1e1e1,#e21229,#ebebeb,#ee243b,#f04054,#f5f5f5,#fff"
BH-14,BH-14.svg,64.644,SVG,"(480, 640)",1.33,,100,,"#294278,#730916,#aa0e1f,#c4996c,#c61024,#ce1126,#d7d7d7,#e1e1e1,#e21229,#ebebeb,#ee243b,#ef4136,#f04054,#f5f5f5,#fff"
BH-15,BH-15.svg,57.96,SVG,"(480, 640)",1.33,,100,,"#0055d4,#0078ac,#730916,#803300,#aa0e1f,#afc6e9,#c61024,#c8925f,#ce1126,#d7d7d7,#e1e1e1,#e21229,#ebebeb,#ee243b,#f04054,#f5f5f5,#fff"
BH-17,BH-17.svg,86.041,SVG,"(480, 640)",1.33,,100,,"#162371,#730916,#75aada,#9d886b,#aa0e1f,#c61024,#ce1126,#d7d7d7,#e1e1e1,#e21229,#ebebeb,#ee243b,#f04054,#f5f5f5,#fff"
BO-B,BO-B.svg,1.122,SVG,"(785, 1152)",1.47,,18,,
BO-C,BO-C.svg,0.264,SVG,"(750, 1100)",1.47,,2,,#84c5f0
BO-H,BO-H.svg,74.891,SVG,"(600, 900)",1.5,,100,,"#008f4c,#d9171a,#e3e4e5,#eac102,#ed1c24,#fff"
BO-L,BO-L.svg,0.605,SVG,"(226, 330)",1.46,,4,,"#007a3d,#d81e05"
BO-N,BO-N.svg,0.293,SVG,"(750, 1100)",1.47,,4,,"#007a3d,#ffffff"
BO-O,BO-O.svg,0.26,SVG,"(750, 1100)",1.47,,2,,#d81e05
BO-P,BO-P.svg,0.191,SVG,"(300, 440)",1.47,,4,,"#d81e05,#fff"
BO-S,BO-S.svg,0.192,SVG,"(750, 1100)",1.47,,4,,"#007a3d,#fff"
BO-T,BO-T.svg,0.217,SVG,"(750, 1100)",1.47,,4,,#d81e05
BQ-BO,BQ-BO.svg,0.504,SVG,"(600, 900)",1.5,,14,,"#003087,#101820,#d50032,#ffd700,#fff"
BQ-SA,BQ-SA.svg,0.593,SVG,"(500, 750)",1.5,,8,,"#012a87,#dc171d,#f9d90f,#fff"
BQ-SE,BQ-SE.svg,1.342,SVG,"(600, 900)",1.5,,18,,"#008830,#012a87,#dc171d,#dc171f,#f9d90f,#fff"
BR-AC,BR-AC.svg,0.25,SVG,"(350, 500)",1.43,,6,,"#00994c,#c00,#f3e718"
BR-AL,BR-AL.svg,146.609,SVG,"(400, 600)",1.5,,100,,"#0067ab,#0077b9,#00923f,#0a0b0c,#1f1a17,#da251d,#f8c300,#fff"
BR-AM,BR-AM.svg,1.009,SVG,"(500, 700)",1.4,,8,,"#001e78,#d20000,#fff"
BR-AP,BR-AP.svg,2.188,SVG,"(700, 1000)",1.43,,18,,"#000,#002580,#00994c,#038301,#f3e718,#fff"
BR-BA,BR-BA.svg,0.349,SVG,"(1000, 1500)",1.5,,8,,"#0a14c8,#c8140a,#fff"
BR-CE,BR-CE.svg,17.21,SVG,"(504, 720)",1.43,,100,,"#231f20,#258f44,#2a723f,#54a7aa,#613a21,#80d6f7,#a4835b,#cd7f4b,#cfa550,#dcc89c,#e7cf9c,#f5f5f5,#fbc707,#fcd7a8,#fff,#fff200"
BR-DF,BR-DF.svg,0.683,SVG,"(1050, 1500)",1.43,,8,,"#00923f,#f8c300,#ffffff"
BR-ES,BR-ES.svg,6.656,SVG,"(1400, 2)",0.0,,8,,"#0096e1,#f09bbe,#ffffff"
BR-GO,BR-GO.svg,1.785,SVG,"(1050, 1500)",1.43,,12,,"#002580,#00994c,#f3e718,#fff"
BR-MA,BR-MA.svg,1.173,SVG,"(900, 1350)",1.5,,16,,"#000000,#25247b,#c53425,#ffffff"
BR-MG,BR-MG.svg,10.805,SVG,"(420, 600)",1.43,,10,,"#ed1c24,#fff"
